mc	mn	onset	label
1	1	0	.B.ii6
1	1	1/8	ii
1	1	1/4	ii64
1	1	1/2	V65
2	2	0	I
3	3	0	ii6/bVII
3	3	1/8	ii/bVII
3	3	1/4	ii64/bVII
3	3	1/2	V65/bVII
4	4	0	.bVII
5	5	0	ii6/bVI
5	5	1/8	ii/bVI
5	5	1/4	ii64/bVI
5	5	1/2	V65/bVI
6	6	0	.bVI[bVI
7	7	0	ii/bVI
7	7	1/4	ii7/bVI
7	7	1/2	V7/bVI
8	8	0	.bVI
9	9	0	ii/bVI
9	9	1/2	V9/bVI
9	9	5/8	V7/bVI
10	10	0	.bVI
11	11	0	ii/bVI
11	11	1/4	ii7/bVI
11	11	1/2	V7/bVI]
12	12	0	.Ger6
12	12	1/2	V[V(64)
13	13	0	V9
13	13	1/2	V7
14	14	0	I64
14	14	1/4	iii6
14	14	1/2	I64
15	15	0	V9
15	15	1/8	V7
15	15	1/4	V7(94)
15	15	1/2	V7]
16	16	0	I\\
16	16	1/4	I6
16	16	1/2	IV
17	17	0	I6
17	17	1/8	I
17	17	1/4	vi
17	17	1/2	ii
18	18	0	vi6
18	18	1/8	vi
18	18	1/4	IV
18	18	1/2	I
19	19	0	V65
19	19	1/8	V(6)
19	19	1/4	V65
19	19	5/8	I
20	20	1/4	IV
20	20	1/2	viio64
20	20	5/8	IV
21	21	0	V7
21	21	1/4	V65
21	21	1/2	V7(6)
22	22	0	I\\
22	22	1/4	IV
23	23	0	ii6
23	23	1/8	ii
23	23	1/4	ii64
23	23	1/2	V65
24	24	0	I
25	25	0	ii6/bVII
25	25	1/8	ii/bVII
25	25	1/4	ii64/bVII
25	25	1/2	V65/bVII
26	26	0	.bVII
27	27	0	ii6/bVI
27	27	1/8	ii/bVI
27	27	1/4	ii64/bVI
27	27	1/2	V65/bVI
28	28	0	.bVI[bVI
29	29	0	ii/bVI
29	29	1/4	ii7/bVI
29	29	1/2	V7/bVI
30	30	0	.bVI
31	31	0	ii/bVI
31	31	1/2	V9/bVI
31	31	5/8	V7/bVI
32	32	0	.bVI
33	33	0	ii/bVI
33	33	1/4	ii7/bVI
33	33	1/2	V7/bVI]
34	34	0	.Ger6
34	34	1/2	V[V(64)
35	35	0	V9
35	35	1/2	V7
36	36	0	I64
36	36	1/4	iii6
36	36	1/2	I64
37	37	0	V9
37	37	1/8	V7
37	37	1/4	V7(94)
37	37	1/2	V7]
38	38	0	I\\
38	38	1/4	I6
38	38	1/2	IV
39	39	0	I6
39	39	1/8	I
39	39	1/4	vi
39	39	1/2	ii
40	40	0	vi6
40	40	1/8	vi
40	40	1/4	IV
40	40	1/2	I
41	41	0	V65
41	41	1/8	V(6)
41	41	1/4	V65
41	41	5/8	I
42	42	1/4	IV
42	42	1/2	viio64
42	42	5/8	IV
43	43	0	V7
43	43	1/4	V65
43	43	1/2	V7(6)
44	44	0	I\\
44	44	1/4	V7/IV
44	44	1/2	.Ger6/bIV
45	45	0	.bIV.V(64)
47	47	1/4	V7
48	48	0	I
48	48	1/2	#viio7/iii
49	49	0	I[I
51	51	1/4	V7
52	52	0	I
52	52	1/4	V7/IV
52	52	1/2	V9/IV]
53	53	0	IV[IV
55	55	1/4	V7/IV
56	56	0	IV
56	56	1/4	IV64]
56	56	1/2	#viio7/vi
57	57	0	IV[IV
59	59	1/4	V7/IV
60	60	0	IV]
60	60	1/4	ii7
60	60	1/2	V9
61	61	0	I[I
63	63	1/4	V7
64	64	0	I
64	64	1/4	I64]
64	64	1/2	#viio7/iii
65	65	0	I[I
67	67	1/4	V7
68	68	0	I
68	68	1/4	V9/IV]
69	69	0	IV[IV
71	71	1/4	V7/IV
72	72	0	IV
72	72	1/4	IV64]
72	72	1/2	#viio7/vi
73	73	0	IV[IV
75	75	1/4	IV(6b4)
75	75	1/2	IV
77	77	0	iv/IV
77	77	1/4	IV6
77	77	1/2	iv/IV
78	78	0	IV6
78	78	1/4	iv/IV
