mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.0	0	1/2	3/4	2	1	c.V{	c	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	2	0.5	1/4	1/4	3/4	2	1	V2	c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	1	5/2	0.5	3/8	3/8	3/4	2	1	i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	1	3	0.5	1/2	1/2	3/4	2	1	V64	c	i		V64		V		64					M	1	1	2, 1, 5		1	2
2	1	7/2	0.5	5/8	5/8	3/4	2	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
3	2	4	0.75	0	0	3/4	2	1	V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	2	19/4	0.25	3/16	3/16	3/4	2	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
3	2	5	1.0	1/4	1/4	3/4	2	1	V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	2	6	1.0	1/2	1/2	3/4	2	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	3	7	0.75	0	0	3/4	2	1	V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	31/4	0.25	3/16	3/16	3/4	2	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
4	3	8	1.0	1/4	1/4	3/4	2	1	V43	c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	3	9	1.0	1/2	1/2	3/4	2	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	4	10	3.0	0	0	3/4	2	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
6	5	13	1.0	0	0	3/4	2	1	V/v	c	i		V/v		V				v			M	1	1	2, 6, 3		2	2
