mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	2	1	.eb.V{	eb	i		V	V						{	M	1	1	1, 5, 2		1	1
2	1	1	1	1.0	0	0	3/4	2	1	i[i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
2	1	2	2	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
3	2	4	4	1.0	0	0	3/4	2	1	iv	eb	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
3	2	5	5	1.0	1/4	1/4	3/4	2	1	V6	eb	i	i	V6	V		6					M	1	1	5, 2, 1		1	5
3	2	6	6	1.0	1/2	1/2	3/4	2	1	V	eb	i	i	V	V							M	1	1	1, 5, 2		1	1
4	3	7	7	1.0	0	0	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
4	3	8	8	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
5	4	10	10	1.0	0	0	3/4	2	1	ii%2	eb	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
5	4	11	11	1.0	1/4	1/4	3/4	2	1	#viio64	eb	i	i	#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
5	4	12	12	2.0	1/2	1/2	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
6	5	14	14	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
7	6	16	16	1.0	0	0	3/4	2	1	iv	eb	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	17	17	1.0	1/4	1/4	3/4	2	1	#viio7	eb	i	i	#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
7	6	18	18	1.0	1/2	1/2	3/4	2	1	V	eb	i	i	V	V							M	1	1	1, 5, 2		1	1
8	7	19	19	1.0	0	0	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
8	7	20	20	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
9	8	22	22	1.0	0	0	3/4	2	1	ii%2	eb	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
9	8	23	23	1.0	1/4	1/4	3/4	2	1	#viio	eb	i	i	#viio	#vii	o						o	1	1	5, 2, -1		5	5
9	8	24	24	2.0	1/2	1/2	3/4	2	1	i}	eb	i	i	i	i						}	m	1	1	0, -3, 1		0	0
10	9	25	25	0.0	0	0	3/4	2	1	{	eb	i	i								{		1	1				
10	9	26	26	1.0	1/4	1/4	3/4	2	1	V43/VII]	eb	i	i	V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
10	9	27	27	1.0	1/2	1/2	3/4	2	1	V7/VII	eb	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
11	10	28	28	0.5	0	0	3/4	2	1	VII(9)	eb	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
11	10	57/2	57/2	0.5	1/8	1/8	3/4	2	1	VII	eb	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	10	29	29	1.0	1/4	1/4	3/4	2	1	vii	eb	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
11	10	30	30	1.0	1/2	1/2	3/4	2	1	V7/VI	eb	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
12	11	31	31	0.5	0	0	3/4	2	1	VI(9)	eb	i		VI(9)	VI			9				M	1	1	-4, 0, -3	-2	-4	-4
12	11	63/2	63/2	1.5	1/8	1/8	3/4	2	1	VI	eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	11	33	33	1.0	1/2	1/2	3/4	2	1	ii%7	eb	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
13	12	34	34	0.5	0	0	3/4	2	1	V(9)	eb	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
13	12	69/2	69/2	0.5	1/8	1/8	3/4	2	1	V	eb	i		V	V							M	1	1	1, 5, 2		1	1
13	12	35	35	1.0	1/4	1/4	3/4	2	1	V7	eb	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	36	36	2.0	1/2	1/2	3/4	2	1	i}	eb	i		i	i						}	m	1	1	0, -3, 1		0	0
14	13	37	37	0.0	0	0	3/4	2	1	{	eb	i									{		1	1				
14	13	38	38	1.0	1/4	1/4	3/4	2	1	V43/VII	eb	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
14	13	39	39	1.0	1/2	1/2	3/4	2	1	V7/VII	eb	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
15	14	40	40	0.5	0	0	3/4	2	1	VII(9)	eb	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
15	14	81/2	81/2	0.5	1/8	1/8	3/4	2	1	VII	eb	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
15	14	41	41	1.0	1/4	1/4	3/4	2	1	V43/VI	eb	i		V43/VI	V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
15	14	42	42	1.0	1/2	1/2	3/4	2	1	V7/VI	eb	i		V7/VI	V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
16	15	43	43	0.5	0	0	3/4	2	1	VI(9)	eb	i		VI(9)	VI			9				M	1	1	-4, 0, -3	-2	-4	-4
16	15	87/2	87/2	0.5	1/8	1/8	3/4	2	1	VI	eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	15	44	44	1.0	1/4	1/4	3/4	2	1	ii%43	eb	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
16	15	45	45	1.0	1/2	1/2	3/4	2	1	ii%7	eb	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
17	16	46	46	0.5	0	0	3/4	2	1	V(9)	eb	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
17	16	93/2	93/2	0.5	1/8	1/8	3/4	2	1	V	eb	i		V	V							M	1	1	1, 5, 2		1	1
17	16	47	47	1.0	1/4	1/4	3/4	2	1	V7	eb	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	16	48	48	2.0	1/2	1/2	3/4	2	1	i[i}{	eb	i	i	i	i						}{	m	1	1	0, -3, 1		0	0
18	17	50	50	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
19	18	52	52	1.0	0	0	3/4	2	1	iv	eb	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
19	18	53	53	1.0	1/4	1/4	3/4	2	1	V6	eb	i	i	V6	V		6					M	1	1	5, 2, 1		1	5
19	18	54	54	1.0	1/2	1/2	3/4	2	1	V	eb	i	i	V	V							M	1	1	1, 5, 2		1	1
20	19	55	55	1.0	0	0	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
20	19	56	56	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
21	20	58	58	1.0	0	0	3/4	2	1	ii%2	eb	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
21	20	59	59	1.0	1/4	1/4	3/4	2	1	#viio64	eb	i	i	#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
21	20	60	60	2.0	1/2	1/2	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
22	21	62	62	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
23	22	64	64	1.0	0	0	3/4	2	1	iv	eb	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
23	22	65	65	1.0	1/4	1/4	3/4	2	1	#viio43	eb	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
23	22	66	66	1.0	1/2	1/2	3/4	2	1	V	eb	i	i	V	V							M	1	1	1, 5, 2		1	1
24	23	67	67	1.0	0	0	3/4	2	1	i	eb	i	i	i	i							m	1	1	0, -3, 1		0	0
24	23	68	68	2.0	1/4	1/4	3/4	2	1	V7/iv	eb	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
25	24	70	70	1.0	0	0	3/4	2	1	ii%2	eb	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
25	24	71	71	1.0	1/4	1/4	3/4	2	1	#viio	eb	i	i	#viio	#vii	o						o	1	1	5, 2, -1		5	5
25	24	72	72	1.0	1/2	1/2	3/4	2	1	i]}	eb	i	i	i	i						}	m	1	1	0, -3, 1		0	0
