mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1	Ab.V{	Ab	I		V	V						{	M	0	0	1, 5, 2		1	1
4	4	1/4	1/4	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	3/4	2	1	I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	3/4	2	1	vi6	Ab	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
6	6	0	0	3/4	2	1	ii7	Ab	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	6	1/2	1/2	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
7	7	0	0	3/4	2	1	V7/IV	Ab	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	7	1/2	1/2	3/4	2	1	IV	Ab	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	0	0	3/4	2	1	V7/iii	Ab	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
8	8	1/2	1/2	3/4	2	1	iii	Ab	I		iii	iii							m	0	0	4, 1, 5		4	4
9	9	0	0	3/4	2	1	V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
9	9	1/2	1/2	3/4	2	1	ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
10	10	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/4	1/4	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
10	10	1/2	1/2	3/4	2	1	{	Ab	I									{		0	0				
11	11	0	0	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
11	11	1/4	1/4	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	3/4	2	1	V(6#4#2)	Ab	I		V(6#4#2)	V			6#4#2				M	0	0	1, 10, 7, 4		1	1
12	12	1/4	1/4	3/4	2	1	V7|HC}	Ab	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	0	3/4	2	1	I{	Ab	I		I	I						{	M	0	0	0, 4, 1		0	0
13	13	1/2	1/2	3/4	2	1	vi6	Ab	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
14	14	0	0	3/4	2	1	ii7	Ab	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
14	14	1/2	1/2	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
15	15	0	0	3/4	2	1	V/IV	Ab	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
15	15	1/2	1/2	3/4	2	1	IV	Ab	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	16	0	0	3/4	2	1	V7/iii	Ab	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
16	16	1/2	1/2	3/4	2	1	iii	Ab	I		iii	iii							m	0	0	4, 1, 5		4	4
17	17	0	0	3/4	2	1	V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
17	17	1/2	1/2	3/4	2	1	ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
18	18	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	1/4	1/4	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
18	18	1/2	1/2	3/4	2	1	{	Ab	I									{		0	0				
19	19	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	0	0	3/4	2	1	I|IAC}	Ab	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
21	21	0	0	3/4	2	1	iii.V7{	Ab	iii		V7	V		7				{	Mm7	0	1	1, 5, 2, -1		1	1
22	22	0	0	3/4	2	1	i	Ab	iii		i	i							m	0	1	0, -3, 1		0	0
23	23	0	0	3/4	2	1	V7	Ab	iii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
24	24	0	0	3/4	2	1	i|PAC}	Ab	iii		i	i					PAC	}	m	0	1	0, -3, 1		0	0
24	24	1/2	1/2	3/4	2	1	V.ii%43{	Ab	V		ii%43	ii	%	43				{	%7	0	0	-4, 0, 2, -1		2	-4
25	25	0	0	3/4	2	1	V7	Ab	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	26	0	0	3/4	2	1	I	Ab	V		I	I							M	0	0	0, 4, 1		0	0
26	26	1/2	1/2	3/4	2	1	I(7)	Ab	V		I(7)	I			7				M	0	0	0, 4, 1	5	0	0
27	27	1/4	1/4	3/4	2	1	V7	Ab	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	0	0	3/4	2	1	I.V7|HC}	Ab	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
29	29	0	0	3/4	2	1	I{	Ab	I		I	I						{	M	0	0	0, 4, 1		0	0
29	29	1/2	1/2	3/4	2	1	vi6	Ab	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
30	30	0	0	3/4	2	1	ii7	Ab	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
30	30	1/2	1/2	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
31	31	0	0	3/4	2	1	V7/IV	Ab	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
31	31	1/2	1/2	3/4	2	1	IV	Ab	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
32	32	0	0	3/4	2	1	V7/iii	Ab	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
32	32	1/2	1/2	3/4	2	1	iii	Ab	I		iii	iii							m	0	0	4, 1, 5		4	4
33	33	0	0	3/4	2	1	V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
33	33	1/2	1/2	3/4	2	1	ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
34	34	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	34	1/4	1/4	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
34	34	1/2	1/2	3/4	2	1	{	Ab	I									{		0	0				
35	35	0	0	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
35	35	1/4	1/4	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
36	36	0	0	3/4	2	1	V(6#4#2)	Ab	I		V(6#4#2)	V			6#4#2				M	0	0	1, 10, 7, 4		1	1
36	36	1/4	1/4	3/4	2	1	V7|HC}	Ab	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
37	37	0	0	3/4	2	1	I{	Ab	I		I	I						{	M	0	0	0, 4, 1		0	0
37	37	1/2	1/2	3/4	2	1	vi6	Ab	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
38	38	0	0	3/4	2	1	ii7	Ab	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
38	38	1/2	1/2	3/4	2	1	V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
39	39	0	0	3/4	2	1	V/IV	Ab	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
39	39	1/2	1/2	3/4	2	1	IV	Ab	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
40	40	0	0	3/4	2	1	V7/iii	Ab	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
40	40	1/2	1/2	3/4	2	1	iii	Ab	I		iii	iii							m	0	0	4, 1, 5		4	4
41	41	0	0	3/4	2	1	V7/ii	Ab	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
41	41	1/2	1/2	3/4	2	1	ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
42	42	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	42	1/4	1/4	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
42	42	1/2	1/2	3/4	2	1	{	Ab	I									{		0	0				
43	43	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
44	44	0	0	3/4	2	1	I|PAC}	Ab	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
44	44	1/2	1/2	3/4	2	1	{	Ab	I									{		0	0				
45	45	1/2	1/2	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
46	46	0	0	3/4	2	1	I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
47	47	1/2	1/2	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	0	0	3/4	2	1	I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
48	48	1/2	1/2	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
49	49	0	0	3/4	2	1	I	Ab	I		I	I							M	0	0	0, 4, 1		0	0
49	49	1/2	1/2	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	50	0	0	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
50	50	1/4	1/4	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
50	50	1/2	1/2	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
51	51	0	0	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
51	51	1/4	1/4	3/4	2	1	V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
51	51	1/2	1/2	3/4	2	1	V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
52	52	0	0	3/4	2	1	I|IAC}	Ab	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
