mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	2	2	1/4		1/4	1		5	35	5
1	1	0	0	3/4	2	2	1/4		1/4	1		5	47	5
1	1	0	0	3/4	2	1	1/4		1/4	1		6	54	3
1	1	0	0	3/4	1	1	1/8		1/8	1		7	61	0
1	1	0	0	3/4	1	1	1/8		1/8	1		4	64	0
1	1	1/8	1/8	3/4	1	1	1/8		1/8	1		5	59	1
1	1	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	1
1	1	1/4	1/4	3/4	2	2	1/2		1/2	1		5	35	6
1	1	1/4	1/4	3/4	2	2	1/2		1/2	1		5	47	6
1	1	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	4
1	1	1/4	1/4	3/4	1	1	1/2		1/2	1		5	59	2
1	1	1/4	1/4	3/4	1	1	1/2		1/2	1		9	63	2
2	2	0	0	3/4	2	2	1/4		1/4	1		5	35	12
2	2	0	0	3/4	2	2	1/4		1/4	1		5	47	12
2	2	0	0	3/4	2	1	1/4		1/4	1		6	54	10
2	2	0	0	3/4	1	1	1/8		1/8	1		7	61	7
2	2	0	0	3/4	1	1	1/8		1/8	1		4	64	7
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		5	59	8
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	8
2	2	1/4	1/4	3/4	2	2	1/2		1/2	1		5	35	13
2	2	1/4	1/4	3/4	2	2	1/2		1/2	1		5	47	13
2	2	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	11
2	2	1/4	1/4	3/4	1	1	1/2		1/2	1		5	59	9
2	2	1/4	1/4	3/4	1	1	1/2		1/2	1		9	63	9
3	3	0	0	3/4	2	2	1/4		1/4	1		5	35	19
3	3	0	0	3/4	2	2	1/4		1/4	1		5	47	19
3	3	0	0	3/4	2	1	1/4		1/4	1		6	54	17
3	3	0	0	3/4	1	1	1/8		1/8	1		7	61	14
3	3	0	0	3/4	1	1	1/8		1/8	1		4	64	14
3	3	1/8	1/8	3/4	1	1	1/8		1/8	1		5	59	15
3	3	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	15
3	3	1/4	1/4	3/4	2	2	1/2		1/2	1		5	35	20
3	3	1/4	1/4	3/4	2	2	1/2		1/2	1		5	47	20
3	3	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	18
3	3	1/4	1/4	3/4	1	1	1/2		1/2	1		5	59	16
3	3	1/4	1/4	3/4	1	1	1/2		1/2	1		9	63	16
4	4	0	0	3/4	2	2	1/4		1/4	1		5	35	26
4	4	0	0	3/4	2	2	1/4		1/4	1		5	47	26
4	4	0	0	3/4	2	1	1/4		1/4	1		6	54	24
4	4	0	0	3/4	1	1	1/8		1/8	1		7	61	21
4	4	0	0	3/4	1	1	1/8		1/8	1		4	64	21
4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		5	59	22
4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	22
4	4	1/4	1/4	3/4	2	2	1/2		1/2	1		5	35	27
4	4	1/4	1/4	3/4	2	2	1/2		1/2	1	1	5	47	27
4	4	1/4	1/4	3/4	2	1	1/2		1/2	1	1	6	54	25
4	4	1/4	1/4	3/4	1	1	1/2		1/2	1	1	5	59	23
4	4	1/4	1/4	3/4	1	1	1/2		1/2	1	1	9	63	23
5	5	0	0	3/4	2	2	1/4		1/4	1		5	35	38
5	5	0	0	3/4	2	2	1/4		1/4	1	-1	5	47	38
5	5	0	0	3/4	2	1	1/4		1/4	1	-1	6	54	33
5	5	0	0	3/4	1	1	1/4		1/4	1	-1	5	59	28
5	5	0	0	3/4	1	1	1/4		1/4	1	-1	9	63	28
5	5	1/4	1/4	3/4	2	1	1/8		1/8	1		7	49	34
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1		7	61	29
5	5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	47	35
5	5	3/8	3/8	3/4	1	1	1/8		1/8	1		5	59	30
5	5	1/2	1/2	3/4	2	1	1/8		1/8	1		4	52	36
5	5	1/2	1/2	3/4	1	1	1/8		1/8	1		4	64	31
5	5	5/8	5/8	3/4	2	1	1/8		1/8	1		6	54	37
5	5	5/8	5/8	3/4	1	1	1/8		1/8	1		6	66	32
6	6	0	0	3/4	2	1	1/8		1/8	1		8	56	45
6	6	0	0	3/4	1	1	1/8		1/8	1		8	68	39
6	6	1/8	1/8	3/4	2	1	1/8		1/8	1		9	51	46
6	6	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	40
6	6	1/4	1/4	3/4	2	1	1/8		1/8	1		4	52	47
6	6	1/4	1/4	3/4	1	1	1/8		1/8	1		4	64	41
6	6	3/8	3/8	3/4	2	1	1/8		1/8	1		8	56	48
6	6	3/8	3/8	3/4	1	1	1/8		1/8	1		8	68	42
6	6	1/2	1/2	3/4	2	1	1/8		1/8	1		5	59	49
6	6	1/2	1/2	3/4	1	1	1/8		1/8	1		5	71	43
6	6	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	50
6	6	5/8	5/8	3/4	1	1	1/8		1/8	1		7	73	44
7	7	0	0	3/4	2	1	1/8		1/8	1		9	63	58
7	7	0	0	3/4	1	1	1/8		1/8	1		9	75	51
7	7	3/16	3/16	3/4	1	1	1/16		1/16	1		10	70	52
7	7	1/4	1/4	3/4	2	1	1/4		1/4	1		7	49	59
7	7	1/4	1/4	3/4	1	1	1/12		1/8	2/3		5	71	53
7	7	1/3	1/3	3/4	1	1	1/12		1/8	2/3		7	73	54
7	7	5/12	5/12	3/4	1	1	1/12		1/8	2/3		5	71	55
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		11	53	60
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	60
7	7	1/2	1/2	3/4	1	1	1/8		1/8	1		10	70	56
7	7	5/8	5/8	3/4	1	1	1/8		1/8	1		8	68	57
8	8	0	0	3/4	2	1	1/4		1/4	1		6	42	67
8	8	0	0	3/4	1	1	1/8		1/8	1		6	66	61
8	8	1/8	1/8	3/4	1	1	1/8		1/8	1		7	61	62
8	8	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	68
8	8	1/4	1/4	3/4	2	1	1/4		1/4	1		10	58	68
8	8	1/4	1/4	3/4	1	1	1/8		1/8	1		9	63	63
8	8	3/8	3/8	3/4	1	1	1/8		1/8	1		4	64	64
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	69
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		10	58	69
8	8	1/2	1/2	3/4	1	1	1/8		1/8	1		8	68	65
8	8	5/8	5/8	3/4	1	1	1/8		1/8	1		6	66	66
9	9	0	0	3/4	2	2	1/4		1/4	1		5	35	75
9	9	0	0	3/4	2	2	1/4		1/4	1		5	47	75
9	9	0	0	3/4	2	1	1/4		1/4	1		6	54	73
9	9	0	0	3/4	1	1	1/8		1/8	1		7	61	70
9	9	0	0	3/4	1	1	1/8		1/8	1		4	64	70
9	9	1/8	1/8	3/4	1	1	1/8		1/8	1		5	59	71
9	9	1/8	1/8	3/4	1	1	1/8		1/8	1		9	63	71
9	9	1/4	1/4	3/4	2	2	1/2		1/2	1		5	35	76
9	9	1/4	1/4	3/4	2	2	1/2		1/2	1		5	47	76
