mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	5/8	3/4	1	1	1/8		1/8	1		2	62		0
2	1	0	0	3/4	2	1	1/4		1/4	1		1	43		7
2	1	0	0	3/4	2	1	1/4		1/4	1		1	55		7
2	1	0	0	3/4	1	1	1/8		1/8	1		2	62		1
2	1	3/16	3/16	3/4	1	1	1/16		1/16	1		4	64		2
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50		8
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		8
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		8
2	1	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		8
2	1	1/4	1/4	3/4	1	1	1/8		1/8	1		6	66		3
2	1	3/8	3/8	3/4	1	1	1/8		1/8	1		1	67		4
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		9
2	1	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		9
2	1	1/2	1/2	3/4	1	1	1/8		1/8	1		3	69		5
2	1	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71		6
3	2	0	0	3/4	2	1	1/4		1/4	1		2	50		15
3	2	0	0	3/4	2	1	1/4		1/4	1		6	54		15
3	2	0	0	3/4	2	1	1/4		1/4	1		0	60		15
3	2	0	0	3/4	2	1	1/4		1/4	1		2	62		15
3	2	0	0	3/4	1	1	1/4		1/4	1		0	72		10
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50		16
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		16
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		16
3	2	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		16
3	2	1/4	1/4	3/4	1	1	1/8		1/8	1		5	71		11
3	2	7/16	7/16	3/4	1	1	1/16		1/16	1		1	67		12
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50		17
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		17
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		17
3	2	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		17
3	2	1/2	1/2	3/4	1	1	1/8		1/8	1		5	71		13
3	2	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72		14
4	3	0	0	3/4	2	1	1/4		1/4	1		2	38		23
4	3	0	0	3/4	2	1	1/4		1/4	1		2	50		23
4	3	0	0	3/4	1	1	1/4		1/4	1		4	76		18
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		6	54		24
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		24
4	3	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		24
4	3	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74		19
4	3	7/16	7/16	3/4	1	1	1/16		1/16	1		3	69		20
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57		25
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		25
4	3	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		25
4	3	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72		21
4	3	5/8	5/8	3/4	1	1	1/8		1/8	1		6	66		22
5	4	0	0	3/4	2	1	1/4		1/4	1		1	43		31
5	4	0	0	3/4	2	1	1/4		1/4	1		1	55		31
5	4	0	0	3/4	1	1	1/8		1/8	1		1	67		26
5	4	3/16	3/16	3/4	1	1	1/16		1/16	1		5	71		27
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		32
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		10	58		32
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		7	61		32
5	4	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64		32
5	4	1/4	1/4	3/4	1	1	1/8		1/8	1		7	73		28
5	4	3/8	3/8	3/4	1	1	1/8		1/8	1		4	76		29
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		33
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		33
5	4	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		33
5	4	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74		30
6	5	0	0	3/4	2	1	1/4		1/4	1		1	43		40
6	5	0	0	3/4	1	1	1/8		1/8	1		2	62		34
6	5	3/16	3/16	3/4	1	1	1/16		1/16	1		4	64		35
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50		41
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		41
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59		41
6	5	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		41
6	5	1/4	1/4	3/4	1	1	1/8		1/8	1		6	66		36
6	5	3/8	3/8	3/4	1	1	1/8		1/8	1		1	67		37
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50		42
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		42
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59		42
6	5	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62		42
6	5	1/2	1/2	3/4	1	1	1/8		1/8	1		3	69		38
6	5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71		39
