mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		-1	65	F4	4	0
1	1	0	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	5
1	1	0	0.5		0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	1
1	1	3/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		2	74	D5	5	2
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	6
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	6
1	1	1	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	6
1	1	1	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	3
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	7
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	7
1	1	2	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		7	61	C#4	4	7
1	1	2	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	4
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	12
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	12
2	2	3	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	12
2	2	3	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	8
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	13
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	13
2	2	4	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	13
2	2	4	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	9
2	2	9/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	10
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	14
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	14
2	2	5	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	14
2	2	5	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	11
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	19
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	19
3	3	6	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	65	F4	4	19
3	3	6	0.5		0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	15
3	3	27/4	0.25		3/16	3/16	3/4	1	1	1/16		1/16	1		-1	77	F5	5	16
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	20
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	20
3	3	7	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	20
3	3	7	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	17
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	21
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	21
3	3	8	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	21
3	3	8	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	18
4	4	9	1.0		0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	26
4	4	9	1.0		0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	22
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	27
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	27
4	4	10	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	27
4	4	10	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	23
4	4	21/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	24
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	28
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	28
4	4	11	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	28
4	4	11	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	25
5	5	12	0.0		0	0	3/4	1	1	0	acciaccatura	1/8	1		-1	65	F4	4	29
5	5	12	1.0		0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	34
