mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	1	1	3/8		1/4	3/2		-3	75		0
1	1	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74		1
1	1	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		2
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		3
2	2	0	0	3/4	1	1	1/8		1/8	1		2	74		4
2	2	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77		5
2	2	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75		6
2	2	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74		7
2	2	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		8
2	2	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		9
3	3	0	0	3/4	1	1	1/8		1/8	1		2	74		10
3	3	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77		11
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75		12
3	3	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74		13
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		14
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		15
4	4	0	0	3/4	1	1	1/8		1/8	1		2	74		16
4	4	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77		17
4	4	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75		18
4	4	3/8	3/8	3/4	1	1	1/8		1/8	1		-5	73		19
4	4	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		20
4	4	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		21
5	5	0	0	3/4	2	1	1/4		1/4	1		-4	56		29
5	5	0	0	3/4	2	1	1/4		1/4	1		0	60		29
5	5	0	0	3/4	2	1	1/4		1/4	1		-3	63		29
5	5	0	0	3/4	1	1	1/4		1/4	1		0	72		22
5	5	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56		30
5	5	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		30
5	5	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63		30
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1		-4	68		23
5	5	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68		27
5	5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72		24
5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56		31
5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		31
5	5	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65		31
5	5	1/2	1/2	3/4	1	2	1/4		1/4	1		-4	68		28
5	5	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		25
5	5	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		26
6	6	0	0	3/4	2	1	1/4		1/4	1		-2	58		39
6	6	0	0	3/4	2	1	1/4		1/4	1		-1	65		39
6	6	0	0	3/4	1	2	1/4		1/4	1		-4	68		36
6	6	0	0	3/4	1	1	1/8		1/8	1		-5	73		32
6	6	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70		33
6	6	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58		40
6	6	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65		40
6	6	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68		37
6	6	1/4	1/4	3/4	1	1	1/4		1/4	1		-5	73		34
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		41
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58		41
6	6	1/2	1/2	3/4	1	2	1/4		1/4	1		1	67		38
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75		35
7	7	0	0	3/4	2	1	1/4		1/4	1		-4	56		50
7	7	0	0	3/4	2	1	1/4		1/4	1		-3	63		50
7	7	0	0	3/4	1	2	1/4		1/4	1		-6	66		47
7	7	0	0	3/4	1	1	1/4		1/4	1		0	72		42
7	7	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56		51
7	7	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63		51
7	7	1/4	1/4	3/4	1	2	1/4		1/4	1		-6	66		48
7	7	1/4	1/4	3/4	1	1	1/8		1/8	1		-4	68		43
7	7	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72		44
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	49		52
7	7	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56		52
7	7	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65		49
7	7	1/2	1/2	3/4	1	1	1/8		1/8	1		-5	73		45
7	7	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72		46
8	8	0	0	3/4	2	1	1/4		1/4	1		1	55		60
8	8	0	0	3/4	2	1	1/4		1/4	1		2	62		60
8	8	0	0	3/4	1	2	1/4		1/4	1		-1	65		57
8	8	0	0	3/4	1	1	1/8		1/8	1		5	71		53
8	8	1/8	1/8	3/4	1	1	1/8		1/8	1		1	67		54
8	8	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		61
8	8	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62		61
8	8	1/4	1/4	3/4	1	2	1/4		1/4	1		-1	65		58
8	8	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71		55
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48		62
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		62
8	8	1/2	1/2	3/4	1	2	1/4		1/4	1		-3	63		59
8	8	1/2	1/2	3/4	1	1	1/4		1/4	1		0	72		56
9	9	0	0	3/4	2	1	1/4		1/4	1		-1	53		71
9	9	0	0	3/4	2	1	1/4		1/4	1		0	60		71
9	9	0	0	3/4	1	2	1/4		1/4	1		-3	63		68
9	9	0	0	3/4	1	1	1/4		1/4	1		3	69		63
9	9	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53		72
9	9	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		72
9	9	1/4	1/4	3/4	1	2	1/4		1/4	1		-3	63		69
9	9	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65		64
9	9	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69		65
9	9	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	46		73
9	9	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53		73
9	9	1/2	1/2	3/4	1	2	1/4		1/4	1		-5	61		70
9	9	1/2	1/2	3/4	1	1	1/8		1/8	1		-2	70		66
9	9	5/8	5/8	3/4	1	1	1/8		1/8	1		-4	68		67
10	10	0	0	3/4	2	1	1/4		1/4	1		-3	51		81
10	10	0	0	3/4	2	1	1/4		1/4	1		-2	58		81
10	10	0	0	3/4	1	2	1/4		1/4	1		-5	61		79
10	10	0	0	3/4	1	1	1/8		1/8	1		1	67		74
10	10	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	63		75
10	10	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	44		82
10	10	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		82
10	10	1/4	1/4	3/4	1	2	1/4		1/4	1		0	60		80
10	10	1/4	1/4	3/4	1	1	1/4		1/4	1		-4	68		76
10	10	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72		77
10	10	5/8	5/8	3/4	1	1	1/8		1/8	1		-5	73		78
11	11	0	0	3/4	2	1	1/4		1/4	1		-3	39		88
11	11	0	0	3/4	1	1	1/8		1/8	1		-1	77		83
11	11	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	75		84
11	11	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		89
11	11	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		89
11	11	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61		89
11	11	1/4	1/4	3/4	1	1	1/4		1/4	1		-5	73		85
11	11	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		90
11	11	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		90
11	11	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61		90
11	11	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72		86
11	11	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70		87
12	12	0	0	3/4	2	1	1/4		1/4	1		-3	51		94
12	12	0	0	3/4	2	1	1/4		1/4	1		6	54		94
12	12	0	0	3/4	2	1	1/4		1/4	1		0	60		94
12	12	0	0	3/4	1	1	1/4		1/4	1		3	69		91
12	12	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	51		95
12	12	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55		95
12	12	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61		95
12	12	1/4	1/4	3/4	1	1	3/8		1/4	3/2		-2	70		92
12	12	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		96
12	12	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55		96
12	12	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61		96
12	12	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71		93
13	13	0	0	3/4	2	1	1/4		1/4	1		-4	44		105
13	13	0	0	3/4	1	1	1/4		1/4	1		0	72		97
13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56		106
13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60		106
13	13	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63		106
13	13	1/4	1/4	3/4	1	1	1/8		1/8	1		-4	68		98
13	13	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68		103
13	13	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72		99
13	13	1/2	1/2	3/4	1	1	0	acciaccatura	1/8	1		1	79		100
13	13	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56		107
13	13	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60		107
13	13	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65		107
13	13	1/2	1/2	3/4	1	2	1/4		1/4	1		-4	68		104
13	13	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77		101
13	13	5/8	5/8	3/4	1	1	1/8		1/8	1		-3	75		102
14	14	0	0	3/4	2	1	1/4		1/4	1		-2	58		117
14	14	0	0	3/4	2	1	1/4		1/4	1		-1	65		117
14	14	0	0	3/4	1	2	1/4		1/4	1		-4	68		114
14	14	0	0	3/4	1	1	1/8		1/8	1		-5	73		108
14	14	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70		109
14	14	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58		118
14	14	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65		118
14	14	1/4	1/4	3/4	1	2	1/4		1/4	1		-4	68		115
14	14	1/4	1/4	3/4	1	1	1/8		1/8	1		-5	73		110
14	14	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	77		111
14	14	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51		119
14	14	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58		119
