mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	g#.V{					g#	i		V	V						{	M	1	1	9, 13, 10		9	9	1	2	0.3333333333333333	0.1875	0.3125	0.375
2	1	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
2	1	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
3	2	0	0	3/4	2	1	i|PAC}					g#	i		i	i					PAC	}	m	1	1	8, 5, 9		8	8	2	9	0.18181818181818182	0.25	2.5	0.09090909090909091
4	3	1/2	1/2	3/4	2	1	i(6)	-2.29372	3.15594	/	iv	g#	i		i(6)	i			6				m	1	1	8, 5, 4		8	8	1	1	0.5	0.0	0.25	0.0
5	4	0	0	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	1	12	0.07692307692307693	0.0625	2.875	0.02127659574468085
6	5	1/4	1/4	3/4	2	1	ii%65					g#	i		ii%65	ii	%	65					%7	1	1	7, 4, 8, 10		10	7	0	5	0.0	0.0	1.25	0.0
6	5	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	2	6	0.25	0.0625	1.4375	0.041666666666666664
7	6	1/4	1/4	3/4	2	1	iv					g#	i		iv	iv							m	1	1	7, 4, 8		7	7	0	5	0.0	0.0	1.25	0.0
7	6	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	1	6	0.14285714285714285	0.1875	1.3125	0.125
8	7	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
8	7	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
9	8	0	0	3/4	2	1	i|PAC					g#	i		i	i					PAC		m	1	1	8, 5, 9		8	8	1	12	0.07692307692307693	0.0625	3.4375	0.017857142857142856
10	9	1/4	1/4	3/4	2	1	ii%65					g#	i		ii%65	ii	%	65					%7	1	1	7, 4, 8, 10		10	7	0	5	0.0	0.0	1.25	0.0
10	9	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	2	6	0.25	0.0625	1.4375	0.041666666666666664
11	10	1/4	1/4	3/4	2	1	iv					g#	i		iv	iv							m	1	1	7, 4, 8		7	7	0	5	0.0	0.0	1.25	0.0
11	10	1/2	1/2	3/4	2	1	i					g#	i		i	i							m	1	1	8, 5, 9		8	8	3	6	0.3333333333333333	0.1875	1.3125	0.125
12	11	1/4	1/4	3/4	2	1	viio7/V					g#	i		viio7/V	vii	o	7		V			o7	1	1	14, 11, 8, 5		14	14	0	3	0.0	0.0	0.75	0.0
12	11	1/2	1/2	3/4	2	1	V7					g#	i		V7	V		7					Mm7	1	1	9, 13, 10, 7		9	9	0	4	0.0	0.0	1.0	0.0
13	12	0	0	3/4	2	1	i|PAC}					g#	i		i	i					PAC	}	m	1	1	8, 5, 9		8	8	1	4	0.2	0.25	1.5	0.14285714285714285
13	12	1/2	1/2	3/4	2	1	III.iv6{					g#	III		iv6	iv		6				{	m	1	0	1, 5, 4		4	1	0	3	0.0	0.0	0.75	0.0
14	13	0	0	3/4	2	1	V[V7					g#	III	V	V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	2	6	0.25	0.125	2.375	0.05
14	13	1/2	1/2	3/4	2	1	V7(64)					g#	III	V	V7(64)	V		7	64				Mm7	1	0	6, 5, 9, 4		6	6	0	2	0.0	0.0	0.5	0.0
15	14	0	0	3/4	2	1	V7					g#	III	V	V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	2	6	0.25	0.125	2.375	0.05
15	14	1/2	1/2	3/4	2	1	V7(94)					g#	III	V	V7(94)	V		7	94				Mm7	1	0	6, 5, 7, 4	8	6	6	0	2	0.0	0.0	0.5	0.0
16	15	0	0	3/4	2	1	V7					g#	III	V	V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	2	10	0.16666666666666666	0.125	2.875	0.041666666666666664
16	15	1/2	1/2	3/4	2	1	V(6#4#2)					g#	III	V	V(6#4#2)	V			6#4#2				M	1	0	6, 15, 12, 9		6	6	0	3	0.0	0.0	0.75	0.0
17	16	0	0	3/4	2	1	V					g#	III	V	V	V							M	1	0	6, 10, 7		6	6	0	5	0.0	0.0	1.0	0.0
17	16	3/16	3/16	3/4	2	1	viio2/V					g#	III	V	viio2/V	vii	o	2		V			o7	1	0	2, 11, 8, 5		11	2	0	4	0.0	0.0	0.25	0.0
17	16	1/4	1/4	3/4	2	1	V]}					g#	III	V	V	V						}	M	1	0	6, 10, 7		6	6	1	6	0.14285714285714285	0.0625	2.125	0.02857142857142857
18	17	0	0	3/4	2	1	V7(4)/V{					g#	III		V7(4)/V	V		7	4	V		{	Mm7	1	0	7, 6, 8, 5		7	7	0	4	0.0	0.0	1.1875	0.0
18	17	3/16	3/16	3/4	2	1	V7/V					g#	III		V7/V	V		7		V			Mm7	1	0	7, 11, 8, 5		7	7	0	4	0.0	0.0	1.0625	0.0
18	17	1/2	1/2	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	1	4	0.2	0.0625	0.9375	0.0625
19	18	1/4	1/4	3/4	2	1	V7/V					g#	III		V7/V	V		7		V			Mm7	1	0	7, 11, 8, 5		7	7	0	5	0.0	0.0	1.5	0.0
19	18	1/2	1/2	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	1	4	0.2	0.0625	0.9375	0.0625
20	19	1/4	1/4	3/4	2	1	V7/V					g#	III		V7/V	V		7		V			Mm7	1	0	7, 11, 8, 5		7	7	0	5	0.0	0.0	1.5	0.0
20	19	1/2	1/2	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	1	4	0.2	0.0625	0.9375	0.0625
21	20	1/4	1/4	3/4	2	1	V7/V					g#	III		V7/V	V		7		V			Mm7	1	0	7, 11, 8, 5		7	7	0	5	0.0	0.0	1.5	0.0
21	20	1/2	1/2	3/4	2	1	V}					g#	III		V	V						}	M	1	0	6, 10, 7		6	6	0	3	0.0	0.0	0.75	0.0
22	21	0	0	3/4	2	1	ii6{					g#	III		ii6	ii		6				{	m	1	0	4, 8, 7		7	4	3	16	0.15789473684210525	0.5	4.25	0.10526315789473684
24	23	0	0	3/4	2	1	V7					g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	0	2	0.0	0.0	0.5	0.0
24	23	1/4	1/4	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	0	8	0.0	0.0	2.0	0.0
25	24	0	0	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	3	0.0	0.0	0.5	0.0
25	24	1/4	1/4	3/4	2	1	I(+6)					g#	III		I(+6)	I			+6				M	1	0	5, 9, 6	8	5	5	0	4	0.0	0.0	1.0	0.0
25	24	1/2	1/2	3/4	2	1	I					g#	III		I	I							M	1	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
26	25	0	0	3/4	2	1	V7					g#	III		V7	V		7					Mm7	1	0	6, 10, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
26	25	1/4	1/4	3/4	2	1	V					g#	III		V	V							M	1	0	6, 10, 7		6	6	0	10	0.0	0.0	2.5	0.0
