mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	B.I{				B	I		I		I						{	M	0	0	5, 9, 6		5	5	2	8	0.2	0.25	1.0	0.2
2	2	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	7	0.0	0.0	1.3125	0.0
2	2	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
3	3	0	0	3/4	2	1	IV				B	I		IV		IV							M	0	0	4, 8, 5		4	4	2	12	0.14285714285714285	0.25	2.0	0.1111111111111111
4	4	0	0	3/4	2	1	#viio2/iii				B	I		#viio2/iii		#vii	o	2		iii			o7	0	0	5, 14, 11, 8		14	5	0	7	0.0	0.0	1.3125	0.0
4	4	1/2	1/2	3/4	2	1	I				B	I		I		I							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	1.0	0.0
5	5	0	0	3/4	2	1	V7(9)				B	I		V7(9)		V		7	9				Mm7	0	0	6, 10, 7, 4	8	6	6	0	7	0.0	0.0	0.875	0.0
5	5	1/2	1/2	3/4	2	1	V(6)				B	I		V(6)		V			6				M	0	0	6, 10, 9		6	6	0	5	0.0	0.0	1.0	0.0
5	5	5/8	5/8	3/4	2	1	V7				B	I		V7		V		7					Mm7	0	0	6, 10, 7, 4		6	6	0	2	0.0	0.0	0.25	0.0
6	6	0	0	3/4	2	1	vi(9#4)				B	I		vi(9#4)		vi			9#4				m	0	0	8, 5, 14	10	8	8	1	5	0.16666666666666666	0.0625	1.0	0.058823529411764705
6	6	1/2	1/2	3/4	2	1	vi7				B	I		vi7		vi		7					mm7	0	0	8, 5, 9, 6		8	8	0	5	0.0	0.0	1.25	0.0
7	7	0	0	3/4	2	1	V7(9)/V				B	I		V7(9)/V		V		7	9	V			Mm7	0	0	7, 11, 8, 5	9	7	7	0	12	0.0	0.0	1.625	0.0
